               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.020837,             0.01601,           0.0092636,             0.88055,             0.79196,             0.83332,             0.64546,            0.016315,           0.0094203,            0.010802,           0.0088516,           0.0088516,           0.0088516
                  60,            0.020419,             0.01592,           0.0095537,             0.82669,             0.73041,             0.77951,              0.6134,            0.017654,            0.010576,            0.014649,           0.0088318,           0.0088318,           0.0088318
                  61,            0.020564,            0.015464,           0.0076419,             0.82154,             0.84131,             0.85235,             0.66506,            0.014988,           0.0089561,            0.014863,            0.008812,            0.008812,            0.008812
                  62,            0.021211,            0.015559,           0.0091546,             0.82688,              0.8068,             0.86056,             0.65048,             0.01665,           0.0095357,            0.017638,           0.0087922,           0.0087922,           0.0087922
                  63,            0.020577,            0.015463,            0.008214,             0.83045,             0.90854,             0.91312,             0.69255,            0.016021,           0.0097177,           0.0093674,           0.0087724,           0.0087724,           0.0087724
                  64,            0.019952,            0.014477,           0.0068667,             0.79995,             0.84555,             0.86037,             0.64614,            0.017155,            0.010396,            0.011181,           0.0087526,           0.0087526,           0.0087526
                  65,            0.020498,            0.014889,           0.0085758,             0.76629,             0.93279,             0.87208,             0.66721,            0.016407,           0.0094941,            0.010738,           0.0087328,           0.0087328,           0.0087328
                  66,            0.020954,            0.015455,           0.0082864,             0.83067,             0.90108,             0.88113,             0.70525,            0.015137,           0.0088918,            0.010366,            0.008713,            0.008713,            0.008713
                  67,            0.020026,            0.014975,           0.0073105,             0.86891,             0.84662,             0.90619,              0.7195,            0.014977,           0.0091271,             0.01089,           0.0086932,           0.0086932,           0.0086932
                  68,            0.020264,            0.015128,            0.008454,             0.90259,             0.89853,             0.91653,             0.69597,            0.015064,           0.0093396,            0.008499,           0.0086734,           0.0086734,           0.0086734
                  69,            0.019832,             0.01452,           0.0079149,             0.91156,             0.82102,             0.89607,             0.69326,            0.016023,           0.0093188,             0.01008,           0.0086536,           0.0086536,           0.0086536
                  70,            0.019524,            0.014561,           0.0073444,             0.74613,             0.81061,             0.80704,             0.62082,             0.01618,           0.0093257,            0.014099,           0.0086338,           0.0086338,           0.0086338
                  71,            0.019809,            0.015434,           0.0072071,             0.84807,             0.84913,              0.8972,             0.70215,            0.015956,            0.009352,             0.01068,            0.008614,            0.008614,            0.008614
                  72,            0.019493,            0.014551,           0.0074119,             0.84729,             0.83585,             0.86516,             0.69174,            0.014401,           0.0087209,            0.014817,           0.0085942,           0.0085942,           0.0085942
                  73,            0.019198,            0.014617,           0.0064065,             0.94767,             0.82554,             0.90819,             0.68741,            0.016499,           0.0091172,           0.0086674,           0.0085744,           0.0085744,           0.0085744
                  74,            0.019924,            0.014469,           0.0073136,             0.87571,             0.83346,             0.87237,             0.70079,            0.014364,           0.0086653,            0.010369,           0.0085546,           0.0085546,           0.0085546
                  75,            0.019129,            0.014777,           0.0063504,             0.83877,             0.84576,             0.87316,             0.70306,            0.014653,           0.0084981,            0.012178,           0.0085348,           0.0085348,           0.0085348
                  76,            0.018618,            0.014046,           0.0079295,             0.85223,             0.81201,             0.87594,             0.70601,            0.014114,           0.0083694,            0.011326,            0.008515,            0.008515,            0.008515
                  77,            0.018753,            0.014753,           0.0076216,             0.90244,             0.85811,             0.87853,             0.71272,            0.014404,           0.0082805,            0.013216,           0.0084952,           0.0084952,           0.0084952
                  78,            0.018432,            0.013951,           0.0060874,             0.85883,             0.85291,             0.86475,             0.69729,            0.014497,           0.0085903,            0.012195,           0.0084754,           0.0084754,           0.0084754
                  79,            0.018457,            0.014663,           0.0076149,             0.81859,             0.84388,             0.88403,             0.70846,            0.015293,           0.0085062,            0.016655,           0.0084556,           0.0084556,           0.0084556
                  80,            0.018902,            0.014507,           0.0074119,             0.85288,             0.79922,             0.86063,             0.67668,            0.015012,           0.0094533,            0.018052,           0.0084358,           0.0084358,           0.0084358
                  81,            0.018931,              0.0152,           0.0078533,             0.77781,             0.85355,             0.86001,             0.67156,            0.015853,           0.0095496,            0.010952,            0.008416,            0.008416,            0.008416
                  82,            0.019024,            0.014685,           0.0073812,             0.84258,             0.82952,             0.87062,             0.69063,            0.014601,           0.0092832,            0.012711,           0.0083962,           0.0083962,           0.0083962
                  83,            0.018821,            0.014426,           0.0072885,             0.83525,             0.89856,             0.90313,             0.71525,            0.014529,           0.0086055,            0.010009,           0.0083764,           0.0083764,           0.0083764
                  84,            0.019565,            0.014008,           0.0066808,             0.89065,             0.81528,             0.88068,             0.69724,            0.014467,           0.0084006,            0.011966,           0.0083566,           0.0083566,           0.0083566
                  85,            0.019191,            0.014604,           0.0068298,             0.84103,             0.83457,              0.8578,              0.6855,             0.01559,            0.009464,            0.013078,           0.0083368,           0.0083368,           0.0083368
